adults,airconditioning,chapati,child,dal,holidaystatus,rice,sabzi,timeslot,variety,weather
97,0.5,987,156,33,0,27,93,0.5,0,0
511,0.5,2175,712,63,0.5,69,164,1,2,1
775,0.5,2089,1165,60,0.5,61,158,0.5,0,0.5
385,0.5,301,542,38,0.5,32,61,0.5,0,0.5
454,0.5,2166,700,68,0.5,60,169,1,2,1
903,0.5,2754,1330,77,0.5,82,181,0.5,0,1
130,0,874,182,20,0,22,92,0.5,1,0
686,0,1901,1036,61,0.5,68,157,0,1,0
678,0.5,2328,1053,60,0.5,65,167,0,0,0.5
243,0.5,519,343,39,0.5,21,68,0.5,0,0.5
245,0,1788,380,49,0.5,47,113,1,2,1
361,0.5,1367,553,41,0.5,42,119,0.5,2,1
468,0,1158,704,57,0,59,117,0,0,0
367,0,957,560,22,0,20,77,0,2,0
387,0.5,1673,582,42,0,51,114,0,2,0.5
665,0,2266,996,64,0,60,158,1,0,0
308,0,679,457,33,0,22,60,0,2,0
753,0.5,2116,1130,60,0,68,158,0.5,1,0
942,0,3876,1469,96,0.5,91,215,1,2,1
846,0,3389,1293,75,0.5,87,182,1,0,0
985,0.5,2714,1520,71,0.5,84,175,0,0,0.5
617,0.5,1948,889,67,0.5,69,166,0.5,0,0
698,0,3249,1034,86,0.5,83,182,1,1,1
301,0,469,476,20,0,38,97,0.5,1,1
572,0.5,1705,826,50,0,48,118,0,0,0
341,0,531,548,21,0,21,69,0.5,0,0.5
92,0.5,515,120,20,0,35,78,0,2,0
623,0,2586,1008,68,0.5,63,158,0.5,0,0.5
394,0,329,596,34,0.5,39,83,1,1,0
177,0.5,391,280,33,0,38,78,0,1,0.5
440,0.5,2140,641,63,0,68,160,1,1,1
413,0.5,2500,649,60,0,68,149,0,2,0.5
405,0.5,1664,634,55,0,51,108,1,1,0
937,0.5,2993,1402,82,0,79,187,0,1,0.5
376,0.5,555,515,37,0,28,66,0,0,1
771,0.5,2418,1105,63,0.5,69,153,0,0,0
171,0,730,275,22,0,31,89,1,0,1
540,0,1142,776,47,0.5,50,103,0,1,0.5
973,0,3081,1470,81,0,74,199,1,0,0.5
983,0,3284,1528,72,0,71,175,0.5,1,1
442,0,1724,625,46,0.5,59,119,0,1,1
191,0.5,373,283,34,0,29,77,0.5,0,0
335,0.5,1547,482,44,0,43,103,1,2,0
389,0.5,1547,590,58,0,50,108,1,2,0
926,0,4266,1442,99,0.5,90,216,1,2,1
437,0.5,1875,630,65,0.5,64,168,1,2,1
924,0.5,3330,1398,85,0,81,180,0,1,0
572,0.5,2277,892,66,0.5,60,152,0.5,2,1
803,0,2702,1121,84,0,85,188,0,2,1
563,0.5,1079,804,54,0.5,54,128,0.5,0,0.5
131,0.5,371,190,23,0,37,94,1,0,0.5
990,0.5,2944,1416,80,0.5,88,182,0.5,0,0
265,0.5,797,398,39,0.5,39,90,0.5,0,0
149,0.5,523,205,32,0,26,76,1,2,1
892,0,3344,1368,84,0.5,85,176,0.5,1,0.5
894,0,2790,1317,78,0,72,199,0.5,0,1
163,0.5,778,260,39,0.5,35,91,1,1,1
711,0.5,2677,1139,73,0.5,76,195,1,1,0
834,0,2976,1271,79,0.5,83,180,0,1,0.5
258,0.5,1449,452,47,0.5,43,113,0.5,1,0.5
458,0,1560,712,55,0,46,118,0,2,0.5
669,0,2059,971,65,0,69,159,0.5,1,0.5
577,0.5,2108,870,62,0.5,61,167,1,1,0.5
432,0,1014,661,42,0,41,105,0.5,0,1
486,0,1134,728,41,0.5,54,114,1,0,0
419,0.5,1795,633,58,0.5,56,110,1,0,0
179,0.5,916,267,38,0,20,98,1,1,1
923,0,3410,1347,94,0.5,96,207,0,2,0.5
854,0.5,4177,1285,93,0,97,238,1,1,0.5
843,0,3981,1244,92,0,96,236,0.5,2,1
328,0.5,1516,529,47,0.5,47,123,1,1,1
271,0,1762,413,55,0.5,56,126,0.5,2,0.5
677,0,2346,981,60,0.5,66,134,0.5,0,1
761,0,2383,1090,62,0,65,131,1,1,0
795,0.5,2943,1203,82,0.5,83,179,0.5,1,0.5
853,0,2882,1286,84,0,79,199,0,0,0
651,0,1886,950,69,0,68,160,1,0,0.5
882,0.5,3977,1353,91,0.5,97,227,1,1,1
728,0.5,2233,1098,63,0,65,167,1,0,0.5
976,0.5,3234,1434,79,0,77,181,0,0,0.5
78,0.5,991,132,33,0,23,73,1,1,1
944,0.5,3869,1405,90,0,93,245,0,2,1
549,0.5,2531,798,63,0,61,132,0.5,1,1
525,0.5,2427,775,65,0,65,166,0.5,2,1
435,0.5,1271,669,42,0,58,102,0,1,0.5
932,0,4024,1449,90,0.5,99,214,0,2,0.5
447,0.5,2177,657,65,0,64,131,1,1,1
113,0.5,320,167,37,0.5,34,84,0,1,0.5
845,0,3619,1294,97,0.5,99,242,0,2,0.5
72,0.5,765,92,33,0,27,68,1,0,0
665,0,1940,978,63,0.5,65,138,0.5,0,0.5
988,0.5,4432,1512,98,0.5,91,223,1,2,1
61,0,767,91,23,0.5,32,93,0.5,1,0.5
81,0,883,124,30,0.5,22,87,0,1,0
119,0.5,761,181,24,0,39,94,0.5,0,0.5
483,0,1732,752,55,0,56,100,1,1,0
275,0,902,432,35,0,24,96,1,1,0
636,0.5,2304,997,69,0,64,134,0.5,0,0.5
894,0.5,2626,1332,74,0,81,199,0.5,0,0
941,0.5,3997,1413,97,0.5,90,235,1,2,0.5
330,0,1198,497,42,0.5,40,123,1,1,1
409,0,2214,646,65,0.5,63,159,0,2,0.5
236,0,1598,333,45,0.5,55,124,1,2,0
899,0.5,3273,1347,74,0,71,187,0,0,1
255,0,541,392,26,0,28,69,0.5,0,0
140,0,770,203,31,0,27,74,0.5,0,1
574,0.5,1726,851,46,0.5,55,112,0,1,0
483,0.5,2448,718,63,0,63,163,0,2,1
516,0.5,2597,739,69,0,63,158,1,1,0.5
608,0,1917,866,61,0.5,64,169,0,0,0.5
996,0.5,3461,1515,98,0.5,93,211,1,1,0.5
893,0.5,4349,1330,91,0.5,91,206,1,2,0.5
152,0.5,965,228,24,0.5,37,71,1,1,1
305,0.5,1075,459,56,0.5,58,126,1,1,0.5
804,0,3595,1204,94,0.5,91,222,0.5,2,0.5
526,0.5,1637,765,41,0,43,117,0.5,0,1
767,0,2241,1156,60,0,64,148,1,0,0.5
587,0,1059,889,42,0,49,125,0,1,0.5
225,0.5,498,329,24,0,21,70,0,1,0.5
376,0.5,884,554,20,0,37,84,0,0,1
1000,0,3389,1534,86,0,76,173,0.5,1,0
815,0,3918,1233,94,0.5,92,219,1,2,0.5
700,0.5,2790,1061,82,0.5,89,192,1,1,0
73,0.5,380,100,26,0,30,98,1,1,1
879,0,3135,1298,87,0,71,176,0,0,0
418,0,2279,640,63,0,60,145,1,2,0
779,0,1875,1159,64,0,65,135,1,1,0.5
259,0,1076,405,53,0,58,120,1,2,0
978,0.5,3344,1439,87,0.5,86,198,0.5,1,0
547,0,1790,811,53,0,51,101,0,1,1
353,0.5,1612,493,44,0.5,56,122,1,2,1
138,0,856,206,20,0.5,39,61,0.5,2,0
640,0.5,2361,959,65,0,66,142,1,0,0
90,0,745,124,26,0.5,29,87,0,0,0.5
676,0.5,2555,1035,65,0,63,168,1,0,1
823,0.5,3994,1237,95,0.5,97,227,0.5,1,0.5
534,0,1283,741,46,0,40,102,1,1,0.5
409,0.5,1153,619,46,0,55,104,0.5,0,0
187,0.5,921,259,38,0.5,30,91,1,0,1
270,0.5,1476,419,47,0.5,40,119,1,1,0.5
1000,0.5,4366,1543,92,0.5,94,244,0.5,2,1
308,0.5,1113,493,42,0,57,113,1,1,0.5
867,0.5,3750,1301,90,0.5,90,232,0,2,0
898,0.5,4431,1326,96,0,94,211,0.5,2,1
494,0.5,1482,739,47,0,55,129,0,0,0
812,0,2917,1199,75,0,73,174,0,0,1
698,0,2768,1042,87,0,75,180,1,1,1
648,0.5,1900,980,69,0.5,67,163,0,1,0.5
231,0.5,1481,364,41,0,41,121,0,2,0.5
630,0.5,1936,890,61,0,66,158,0,1,0
593,0.5,2247,915,62,0,67,137,0,2,1
61,0,872,91,26,0,22,85,1,0,0
513,0.5,2599,781,62,0,67,150,0.5,2,0.5
407,0.5,2067,652,65,0.5,66,169,0,2,0
136,0.5,506,206,22,0.5,20,93,0.5,2,1
158,0,624,235,39,0,36,66,0.5,1,0
398,0.5,712,594,36,0.5,32,61,0.5,0,1
880,0.5,3209,1284,79,0,84,184,0,1,1
503,0.5,2247,797,65,0,62,167,1,2,0
315,0,1747,476,45,0,54,120,1,2,1
330,0.5,991,486,22,0.5,23,98,0.5,0,0.5
728,0,2444,1070,65,0.5,69,156,0.5,1,0.5
444,0,1254,649,49,0.5,45,128,1,1,0
651,0,1997,955,67,0.5,61,150,1,0,1
892,0,3541,1316,92,0.5,94,215,0.5,2,1
522,0,1180,778,51,0,40,116,1,0,0.5
143,0,879,220,31,0,22,98,0.5,1,0
405,0.5,2250,610,69,0,60,162,1,2,0
77,0,437,100,24,0.5,25,76,0.5,1,0.5
311,0,451,472,35,0.5,32,97,0.5,1,0.5
365,0.5,1799,543,49,0,59,104,0.5,2,0.5
706,0.5,2361,1066,63,0,66,155,0.5,1,0
791,0,2601,1223,82,0.5,79,175,0,1,0.5
390,0,453,568,36,0.5,29,76,0,2,0
735,0,3129,1126,81,0.5,70,170,1,1,1
936,0,2700,1413,82,0.5,77,173,0,1,0
674,0.5,2106,1036,62,0,66,169,0,1,0.5
537,0,1476,815,40,0,51,112,1,1,0
447,0,1744,694,47,0,41,126,0,0,1
360,0.5,737,516,26,0,37,96,1,1,0
733,0.5,3246,1088,76,0,88,179,1,2,1
460,0.5,1227,733,55,0.5,41,117,0.5,1,0
950,0,3698,1458,90,0,93,210,1,2,0
810,0,4433,1225,98,0,97,230,1,2,0
415,0,1616,624,59,0,43,111,0.5,0,0.5
280,0.5,905,412,37,0.5,33,71,0,0,0
543,0,1910,843,60,0.5,67,145,1,2,0.5
85,0.5,403,134,28,0,24,74,0,1,1
287,0.5,476,419,27,0.5,30,70,0.5,0,0.5
564,0.5,1864,848,67,0.5,60,159,1,1,1
704,0.5,2092,1066,65,0.5,60,139,1,0,0.5
200,0,1392,290,53,0,55,104,1,2,0.5
442,0,1150,662,59,0,56,125,1,0,1
468,0.5,1913,724,69,0,62,148,0,2,0.5
95,0.5,378,161,33,0.5,26,65,1,0,0
983,0,3175,1472,72,0,85,170,0,0,0.5
424,0,1329,624,47,0,46,112,0,0,0.5
80,0.5,792,108,37,0,38,74,0.5,2,0.5
247,0,817,363,20,0.5,32,84,0.5,1,0.5
269,0,958,413,33,0,30,89,0,2,0.5
851,0,3080,1266,76,0,82,192,1,0,1
342,0.5,1577,544,58,0.5,41,106,1,1,0.5
190,0,749,287,28,0.5,25,82,1,2,0
200,0,720,307,30,0,37,84,0.5,2,0
684,0.5,2144,1030,68,0,64,158,0.5,1,0.5
750,0,2640,1131,76,0,74,189,0.5,2,0.5
895,0,3044,1286,74,0,70,194,0,2,0.5
824,0,2966,1257,78,0.5,87,185,0.5,0,1
473,0,2427,708,67,0.5,62,165,1,2,1
539,0,1665,839,53,0,58,128,0,1,0.5
194,0,433,272,32,0.5,34,86,0,0,0.5
888,0.5,3373,1334,84,0,78,196,0,1,1
702,0.5,2988,1034,80,0,86,198,0.5,2,1
799,0,2205,1199,65,0.5,62,147,0,0,0
435,0.5,1726,642,44,0,42,106,1,0,1
175,0,798,287,30,0,26,78,0.5,1,1
579,0.5,2154,882,61,0.5,67,134,0.5,1,1
156,0,643,207,20,0,24,92,1,2,0
414,0,1633,612,56,0.5,44,105,0.5,0,1
456,0,1350,690,55,0.5,50,107,0,0,0
699,0,2151,1011,61,0,67,149,0,1,0
207,0.5,563,285,34,0.5,29,98,0.5,0,1
752,0.5,1894,1126,66,0,68,132,0.5,0,1
391,0,1060,618,49,0.5,40,117,1,1,0.5
544,0,1723,837,59,0,49,120,0.5,1,1
577,0.5,2214,850,64,0.5,69,169,0,2,1
463,0,1098,662,53,0,54,127,0,1,0
285,0,548,397,26,0,24,95,1,0,0
64,0.5,386,97,27,0,23,69,0,0,0.5
401,0.5,1497,604,40,0.5,40,112,0,0,0.5
83,0.5,346,131,25,0.5,38,65,0.5,0,0
247,0.5,1123,345,58,0.5,46,129,0.5,1,1
692,0.5,2443,1008,61,0.5,68,156,0,0,0
681,0,2233,1036,63,0,65,135,1,0,0.5
330,0.5,665,499,21,0,38,69,1,0,0
957,0.5,3460,1429,92,0.5,96,228,1,0,1
200,0.5,625,307,28,0,27,74,0.5,1,0
62,0.5,480,95,33,0.5,26,65,1,0,0
260,0,1127,382,49,0,56,101,1,2,1
937,0.5,2769,1387,80,0,89,180,1,0,0
484,0.5,1954,710,67,0,62,164,0,2,0.5
435,0,1420,656,53,0.5,42,124,0,1,1
275,0,700,401,25,0.5,27,82,0,2,0
577,0.5,1000,866,48,0,57,112,0,1,0
501,0.5,2228,792,67,0.5,64,156,0,2,1
480,0,1154,710,51,0,56,109,1,0,0.5
653,0.5,2681,923,74,0,75,182,0.5,2,0
499,0.5,2200,746,63,0.5,63,137,0.5,1,0.5
142,0,426,198,21,0,30,65,0,1,0
752,0.5,2055,1079,60,0,68,148,0.5,0,0
213,0.5,1761,335,58,0.5,41,119,0.5,1,1
88,0,355,117,37,0.5,31,64,0,2,0
759,0.5,3392,1143,76,0,74,171,1,1,0.5
314,0.5,1129,471,54,0.5,59,106,1,2,0
799,0,3370,1215,78,0,70,181,1,0,0
360,0,1771,522,58,0.5,40,102,1,2,0
111,0,841,176,28,0.5,39,72,0.5,1,1
824,0,2716,1244,79,0,81,188,1,0,0
528,0,2598,801,62,0,63,155,1,1,1
761,0.5,2659,1120,84,0.5,89,192,1,1,1
376,0.5,708,578,23,0.5,24,67,1,0,0
819,0.5,4408,1232,91,0,95,231,1,2,0.5
159,0,649,213,25,0.5,31,91,1,1,0
201,0.5,536,271,38,0,21,61,0,0,0.5
347,0,1576,521,58,0.5,48,115,0.5,2,0.5
872,0,3436,1337,91,0.5,92,249,0,2,0.5
367,0.5,868,518,24,0,23,68,0,0,0
525,0,1341,810,46,0,45,123,0,0,0
374,0.5,430,536,28,0,38,67,0,1,1
650,0.5,2622,989,82,0.5,73,186,0.5,2,1
890,0.5,2842,1357,75,0,89,188,0,2,0
594,0,1103,827,45,0,57,123,1,0,1
595,0.5,1025,847,47,0,53,109,0,1,0
657,0.5,3171,943,77,0,81,187,0.5,2,0
274,0,1575,439,42,0.5,57,115,1,2,0.5
188,0.5,745,297,31,0.5,24,90,1,1,0.5
909,0,2930,1361,75,0,85,199,0.5,0,0.5
737,0,2442,1132,61,0,66,160,0,0,0
808,0.5,4100,1237,99,0.5,95,215,0,2,1
146,0.5,796,202,26,0.5,30,87,1,2,0.5
463,0.5,2193,696,62,0.5,62,150,0,2,0.5
387,0,633,568,24,0.5,39,72,0.5,0,0.5
565,0.5,1136,817,43,0.5,48,128,0.5,1,0
228,0,1242,391,54,0.5,42,124,1,2,0
387,0.5,1233,545,55,0.5,58,104,1,0,1
87,0.5,649,140,33,0.5,36,82,0.5,1,0.5
932,0,4020,1366,93,0,92,200,1,2,1
276,0,1544,411,42,0,58,102,0,2,1
288,0,999,417,29,0.5,31,65,0,0,0
122,0,455,172,35,0.5,28,81,1,2,0.5
443,0,1687,644,50,0.5,50,111,0.5,0,0
673,0,2875,1016,82,0.5,72,171,1,2,1
992,0.5,3827,1476,94,0.5,99,243,0,2,0
117,0,807,191,26,0.5,38,89,0.5,2,1
465,0.5,1482,678,49,0,53,128,1,0,0
908,0.5,3864,1388,90,0,96,240,1,2,1
274,0.5,1452,412,57,0.5,57,121,0.5,2,0.5
164,0.5,324,259,34,0,20,75,1,2,0
919,0,3395,1362,89,0,85,187,0.5,1,1
769,0,1848,1145,63,0,66,135,0,0,0
875,0,2676,1314,83,0.5,74,186,0.5,1,0
151,0.5,423,206,23,0.5,39,86,0.5,1,1
652,0.5,3346,970,82,0.5,87,199,1,1,0
324,0,728,468,36,0,22,66,0.5,2,0
988,0,3268,1507,85,0.5,76,174,0,1,1
702,0.5,1897,1047,60,0,68,169,1,0,0
416,0.5,1147,601,48,0,42,104,1,0,1
897,0,3582,1385,91,0,92,205,0.5,2,0.5
718,0.5,2436,1084,61,0,67,165,0.5,0,0
384,0.5,431,579,34,0.5,23,67,1,0,0
113,0,678,165,24,0.5,32,65,0.5,1,0.5
460,0.5,2419,682,63,0.5,65,150,0.5,2,1
728,0.5,2123,1076,67,0,60,133,0.5,0,1
563,0,1626,798,58,0,45,109,0,1,0.5
692,0.5,2886,1064,83,0.5,82,173,1,1,0
815,0,3397,1263,77,0,86,180,0,2,0.5
642,0.5,2454,1007,61,0,62,161,1,0,0
612,0.5,2363,934,60,0,66,138,0,0,0
874,0.5,2874,1290,78,0.5,73,196,0.5,0,0.5
843,0,3259,1219,77,0,89,184,0,1,1
689,0.5,1859,990,69,0,68,139,0.5,0,1
312,0.5,995,464,26,0.5,28,63,0,0,0
344,0,919,508,20,0.5,20,71,0.5,1,0.5
836,0.5,2906,1186,86,0,73,190,0.5,1,0.5
800,0.5,2637,1188,88,0.5,78,174,0,2,0.5
559,0.5,2299,840,67,0.5,60,138,1,1,0
95,0.5,527,132,25,0,34,98,1,2,1
188,0.5,750,284,25,0.5,37,89,1,0,1
349,0.5,1297,504,42,0,49,116,1,2,0.5
325,0,1603,485,55,0.5,56,125,0.5,1,1
124,0.5,406,194,23,0.5,36,73,0,2,0
429,0,1299,673,45,0.5,45,118,0,1,0.5
466,0,1438,749,57,0.5,53,118,0,0,0
895,0,4083,1383,90,0.5,99,218,1,2,1
769,0.5,3215,1162,88,0.5,88,179,0.5,1,1
657,0,1967,958,65,0.5,66,165,0,1,0
776,0.5,2591,1140,68,0,67,133,0,1,0.5
910,0.5,3488,1339,90,0.5,96,229,1,1,0
589,0.5,1935,877,66,0.5,66,147,0,2,0.5
517,0.5,2240,739,64,0,69,163,1,1,1
995,0,2782,1486,82,0.5,83,191,0,0,0.5
789,0,3084,1213,75,0,89,190,1,0,0
739,0,2896,1124,80,0,78,183,1,2,0.5
334,0,545,514,36,0.5,24,62,1,0,0
491,0.5,1904,770,68,0.5,61,137,0,2,1
725,0.5,2606,1129,86,0.5,73,192,0.5,2,1
779,0.5,2231,1111,60,0,69,149,0,0,0.5
926,0,3120,1349,83,0,78,198,0.5,0,1
342,0,983,528,27,0.5,36,96,0,1,0
204,0,1140,327,45,0.5,52,127,1,1,0.5
79,0,717,117,38,0.5,32,82,0,2,1
925,0,2846,1404,74,0,79,185,0.5,0,0
482,0,2058,700,62,0,67,166,1,2,0
376,0.5,729,594,37,0.5,25,78,0,0,1
191,0,946,289,21,0.5,36,89,1,1,0
771,0,2605,1181,80,0.5,85,187,1,1,0.5
154,0.5,493,218,37,0,36,63,1,0,1
432,0.5,2505,611,68,0,68,148,0.5,1,1
829,0.5,3179,1211,75,0.5,80,178,0,1,0
865,0.5,2837,1343,82,0.5,79,183,0.5,0,1
915,0.5,3776,1431,99,0.5,90,219,1,2,0.5
779,0.5,2940,1153,72,0.5,80,191,1,2,1
412,0.5,1672,596,40,0,57,119,1,2,0
97,0.5,320,151,26,0.5,37,80,0.5,0,0.5
822,0,2776,1199,79,0.5,70,170,1,1,1
536,0.5,2379,842,66,0.5,64,154,1,2,0
430,0.5,1536,669,41,0,47,127,0,1,0
697,0,3319,1050,80,0.5,71,171,0,2,0.5
455,0,1633,671,58,0,57,111,0,2,0
603,0,2461,904,64,0,69,145,0,2,0
903,0,2918,1383,79,0.5,71,182,0,1,0
343,0.5,459,514,20,0,27,91,0,1,1
921,0,3024,1356,88,0,70,189,0,0,0.5
489,0.5,1670,725,44,0.5,41,111,1,0,0
568,0.5,1706,824,42,0.5,51,111,1,0,0.5
648,0.5,2656,989,77,0.5,79,178,1,0,1
991,0.5,2640,1516,79,0.5,89,176,0.5,0,0
246,0.5,1659,399,48,0.5,48,107,1,2,0
368,0,649,590,22,0,32,88,1,0,0.5
193,0,735,306,30,0,36,97,1,0,0.5
943,0,4034,1426,92,0.5,92,223,1,2,0.5
882,0,4334,1294,96,0,94,221,0,2,1
219,0,1504,335,50,0,48,122,0.5,2,1
314,0,1641,490,58,0.5,51,111,1,1,0.5
945,0.5,2942,1334,89,0,77,179,0,1,0.5
527,0,1660,793,49,0.5,47,121,0,0,1
908,0,2740,1341,74,0.5,74,171,1,1,0
431,0,1187,649,43,0.5,53,116,0,1,0
937,0,3094,1445,82,0,79,199,0.5,1,0.5
423,0,1737,641,46,0.5,41,109,0,0,0
133,0,529,184,35,0,35,89,0.5,2,1
950,0,3143,1391,70,0.5,72,184,0,0,0
251,0,834,377,27,0.5,29,85,0.5,0,0.5
515,0,1987,821,62,0,61,141,0,2,1
875,0.5,3600,1224,96,0,96,202,0.5,2,1
228,0.5,591,319,39,0,31,87,0,1,0
792,0.5,1818,1202,60,0,62,141,0,0,0
566,0.5,2191,802,62,0.5,63,146,0,2,0.5
798,0.5,2669,1240,80,0,77,174,1,0,1
630,0.5,2472,974,67,0,65,143,1,0,1
360,0.5,1260,537,49,0.5,49,107,0.5,2,0
696,0.5,3085,1054,73,0,88,191,1,1,1
645,0,2008,1010,62,0,63,132,0.5,2,0
247,0.5,840,356,33,0,30,90,1,0,0
867,0.5,3546,1267,94,0.5,96,237,0.5,2,0.5
852,0.5,4099,1265,96,0.5,95,234,1,1,1
71,0.5,723,103,25,0.5,36,99,0,0,0
658,0,2333,948,65,0.5,68,133,1,0,0.5
924,0,4337,1372,99,0.5,97,208,0.5,2,0
225,0.5,1152,323,40,0.5,42,120,0.5,1,1
694,0,3183,1057,87,0.5,81,186,1,2,0.5
850,0,2898,1235,88,0,70,185,0,1,0
932,0,3012,1446,86,0,88,191,0,2,0
69,0,395,99,36,0,22,96,0,1,0
789,0,2041,1165,68,0.5,61,145,0.5,0,0
696,0,2384,1028,69,0,61,144,0,2,0
188,0.5,447,260,25,0,39,90,0,1,0
691,0.5,2992,1059,70,0,80,187,1,2,0.5
984,0,3363,1523,76,0,89,191,0,1,1
919,0.5,3657,1360,97,0.5,92,200,1,1,1
84,0.5,749,99,24,0.5,27,84,1,1,0.5
648,0,3394,923,76,0.5,81,190,0,2,0.5
470,0.5,1567,692,47,0.5,52,117,0,0,0.5
826,0.5,2974,1284,76,0,75,199,1,0,0
241,0,1546,382,53,0.5,47,110,0.5,2,1
341,0,464,536,23,0,21,79,0,0,1
992,0.5,2893,1456,77,0.5,70,173,0.5,0,1
313,0,838,455,36,0,31,87,0,2,0
914,0.5,4110,1415,98,0,99,203,0.5,2,0.5
89,0.5,304,135,32,0.5,29,90,0,1,1
173,0.5,896,271,35,0.5,36,75,0.5,1,0.5
232,0.5,444,353,32,0.5,22,70,0.5,0,0
997,0.5,2820,1552,77,0,86,174,0.5,1,0
957,0,3557,1437,98,0.5,98,229,1,1,1
699,0.5,3206,1013,79,0,81,182,0.5,2,0
531,0,2489,797,67,0,67,130,1,2,1
775,0,2415,1172,65,0.5,61,158,0,1,0
886,0.5,3056,1302,86,0,80,174,0,1,0
858,0.5,4129,1268,99,0.5,93,232,0,2,0
694,0,3380,993,78,0.5,81,187,0.5,2,0
784,0,2512,1141,66,0.5,68,158,0,1,1
163,0.5,721,262,32,0,23,65,0,0,1
879,0,2855,1250,73,0,85,171,0,1,0
799,0,3399,1167,82,0,87,199,1,2,1
165,0.5,361,242,21,0,36,70,1,2,0.5
477,0.5,1389,715,48,0.5,41,123,0,1,0
235,0,329,368,37,0,32,99,1,0,0.5
112,0.5,672,190,35,0,31,82,0,2,0.5
292,0.5,332,452,35,0,35,82,0.5,1,0
502,0,2293,773,68,0.5,67,164,0.5,2,1
506,0.5,2187,751,63,0,65,158,0,2,0.5
307,0.5,424,465,21,0.5,38,96,0.5,1,0
772,0.5,1918,1129,66,0,67,131,0,0,0
205,0,1253,313,44,0.5,46,113,0.5,2,1
888,0,2964,1315,83,0,72,198,0,0,0.5
666,0.5,2240,1010,67,0.5,62,159,0,1,0
225,0.5,1415,340,54,0.5,53,114,1,1,0.5
892,0,2808,1374,72,0,71,199,1,1,0.5
556,0,1279,803,56,0,46,126,0.5,0,0
464,0.5,2334,685,66,0.5,67,164,1,2,1
442,0,1509,628,41,0,56,116,1,1,0
631,0.5,1845,974,67,0.5,67,157,1,0,0.5
203,0,831,308,30,0,39,80,0.5,1,1
68,0.5,980,98,28,0,20,77,0,2,0
